,CustomerID,Recency,Frequency,Monetary,Segment
0,12346.0,325,2,0.0,Regular
1,12347.0,1,7,4310.0,Regular
2,12348.0,74,4,1797.24,Regular
3,12349.0,18,1,1757.55,Regular
4,12350.0,309,1,334.4,Regular
5,12352.0,35,11,1545.41,Regular
6,12353.0,203,1,89.0,Regular
7,12354.0,231,1,1079.4,Regular
8,12355.0,213,1,459.4,Regular
9,12356.0,22,3,2811.43,Regular
10,12357.0,32,1,6207.67,VIP
11,12358.0,1,2,1168.06,Regular
12,12359.0,7,6,6245.53,VIP
13,12360.0,51,3,2662.06,Regular
14,12361.0,286,1,189.9,Regular
15,12362.0,2,13,5154.58,VIP
16,12363.0,109,2,552.0,Regular
17,12364.0,7,4,1313.1,Regular
18,12365.0,290,3,320.69,Regular
19,12367.0,3,1,168.9,Regular
20,12370.0,50,4,3545.69,Regular
21,12371.0,44,2,1887.96,Regular
22,12372.0,71,3,1298.04,Regular
23,12373.0,310,1,364.6,Regular
24,12374.0,24,1,742.9300000000001,Regular
25,12375.0,2,3,455.42,Regular
26,12377.0,314,2,1628.12,Regular
27,12378.0,129,1,4008.62,Regular
28,12379.0,81,3,850.29,Regular
29,12380.0,21,5,2720.56,Regular
30,12381.0,4,6,1803.96,Regular
31,12383.0,184,6,1839.31,Regular
32,12384.0,28,3,566.16,Regular
33,12386.0,337,2,401.9,Regular
34,12388.0,15,6,2780.66,Regular
35,12390.0,79,1,549.84,Regular
36,12391.0,21,1,460.89,Regular
37,12393.0,71,4,1582.6000000000001,Regular
38,12394.0,63,2,1272.48,Regular
39,12395.0,15,15,2998.28,Regular
40,12397.0,35,2,2409.9,Regular
41,12398.0,45,1,1635.6599999999999,Regular
42,12399.0,118,4,1108.65,Regular
43,12401.0,302,1,84.3,Regular
44,12402.0,322,1,225.6,Regular
45,12403.0,49,2,409.7,Regular
46,12405.0,148,1,1710.39,Regular
47,12406.0,21,3,3280.75,Regular
48,12407.0,49,5,1708.1200000000001,Regular
49,12408.0,32,9,2842.57,Regular
50,12409.0,78,7,11056.93,VIP
51,12410.0,300,3,681.0799999999999,Regular
52,12412.0,74,3,1226.88,Regular
53,12413.0,66,5,694.15,Regular
54,12414.0,216,3,562.41,Regular
55,12415.0,23,26,123725.45,VIP
56,12417.0,2,12,3578.8,Regular
57,12418.0,112,1,668.58,Regular
58,12420.0,63,1,600.39,Regular
59,12421.0,15,5,806.27,Regular
60,12422.0,95,3,803.5600000000001,Regular
61,12423.0,0,9,1849.11,Regular
62,12424.0,162,2,1760.96,Regular
63,12425.0,77,1,777.2,Regular
64,12426.0,194,1,582.73,Regular
65,12427.0,11,5,708.37,Regular
66,12428.0,25,12,7877.2,VIP
67,12429.0,8,4,3750.4,Regular
68,12430.0,42,1,256.4,Regular
69,12431.0,35,18,6416.39,VIP
70,12432.0,42,5,5059.32,VIP
71,12433.0,0,7,13375.87,VIP
72,12434.0,84,4,765.19,Regular
73,12435.0,79,2,7829.89,VIP
74,12436.0,99,1,509.01,Regular
75,12437.0,1,19,4896.66,Regular
76,12438.0,13,2,2906.85,Regular
77,12441.0,366,1,173.55,Regular
78,12442.0,2,1,172.06,Regular
79,12444.0,20,5,5005.46,VIP
80,12445.0,21,1,133.4,Regular
81,12446.0,57,1,1002.3100000000001,Regular
82,12447.0,242,1,476.49,Regular
83,12448.0,43,1,449.45,Regular
84,12449.0,21,4,4067.29,Regular
85,12450.0,155,2,197.88,Regular
86,12451.0,10,6,8933.52,VIP
87,12452.0,16,3,428.57,Regular
88,12453.0,133,1,707.09,Regular
89,12454.0,52,2,5.684341886080802e-14,Regular
90,12455.0,72,6,2466.86,Regular
91,12456.0,43,4,3153.89,Regular
92,12457.0,57,12,1917.78,Regular
93,12458.0,70,2,947.4,Regular
94,12461.0,93,2,826.88,Regular
95,12462.0,1,4,1124.01,Regular
96,12463.0,45,7,1303.63,Regular
97,12464.0,9,8,1212.05,Regular
98,12465.0,7,3,733.89,Regular
99,12468.0,142,3,724.0400000000001,Regular
100,12471.0,1,49,18740.92,VIP
101,12472.0,30,13,6229.48,VIP
102,12473.0,28,9,2848.23,Regular
103,12474.0,16,30,7116.47,VIP
104,12475.0,53,1,723.38,Regular
105,12476.0,0,20,6546.58,VIP
106,12477.0,22,9,13117.01,VIP
107,12478.0,3,1,680.99,Regular
108,12479.0,3,3,477.3,Regular
109,12480.0,27,4,3281.63,Regular
110,12481.0,22,11,5590.86,VIP
111,12483.0,16,13,2327.13,Regular
112,12484.0,32,8,4495.27,Regular
113,12488.0,9,3,1298.66,Regular
114,12489.0,335,1,334.93,Regular
115,12490.0,4,10,5417.93,VIP
116,12491.0,38,1,460.40000000000003,Regular
117,12492.0,62,2,263.21000000000004,Regular
118,12493.0,165,3,416.79,Regular
119,12494.0,9,13,1139.3500000000001,Regular
120,12497.0,81,1,1043.1,Regular
121,12498.0,20,3,403.70000000000005,Regular
122,12500.0,22,13,4206.27,Regular
123,12501.0,314,2,2089.68,Regular
124,12502.0,95,5,3723.87,Regular
125,12503.0,337,1,-1126.0,Regular
126,12504.0,17,4,114.0,Regular
127,12505.0,300,1,-4.5,Regular
128,12506.0,232,1,73.5,Regular
129,12507.0,133,4,1258.06,Regular
130,12508.0,25,2,398.27,Regular
131,12509.0,283,1,176.5,Regular
132,12510.0,142,2,982.5699999999999,Regular
133,12512.0,65,2,138.03,Regular
134,12513.0,84,2,586.79,Regular
135,12514.0,266,1,1017.68,Regular
136,12515.0,352,1,383.7,Regular
137,12516.0,77,2,1312.06,Regular
138,12517.0,27,6,2464.89,Regular
139,12518.0,0,5,2056.89,Regular
140,12519.0,63,1,340.84,Regular
141,12520.0,78,6,2582.51,Regular
142,12521.0,142,1,599.68,Regular
143,12522.0,38,2,192.72,Regular
144,12523.0,1,13,1745.57,Regular
145,12524.0,8,8,4485.72,Regular
146,12526.0,0,3,1316.66,Regular
147,12527.0,81,3,348.71000000000004,Regular
148,12528.0,8,8,1922.28,Regular
149,12530.0,59,5,1623.63,Regular
150,12531.0,14,1,125.22,Regular
151,12532.0,29,1,349.83000000000004,Regular
152,12534.0,130,1,1089.18,Regular
153,12535.0,91,2,716.35,Regular
154,12536.0,7,5,4106.82,Regular
155,12538.0,28,1,363.95,Regular
156,12539.0,21,5,3852.5,Regular
157,12540.0,19,19,13309.039999999999,VIP
158,12541.0,29,3,981.18,Regular
159,12544.0,29,2,355.7,Regular
160,12545.0,74,2,1000.39,Regular
161,12546.0,46,3,1141.5,Regular
162,12547.0,197,2,207.79999999999998,Regular
163,12548.0,165,1,95.19999999999999,Regular
164,12550.0,78,1,964.83,Regular
165,12551.0,357,1,168.0,Regular
166,12552.0,38,2,437.82,Regular
167,12553.0,7,14,3652.25,Regular
168,12556.0,49,2,603.71,Regular
169,12557.0,15,5,11990.960000000001,VIP
170,12558.0,1,2,1.0658141036401503e-14,Regular
171,12559.0,310,3,536.21,Regular
172,12560.0,4,4,2101.39,Regular
173,12561.0,302,1,238.85,Regular
174,12562.0,7,7,3781.7400000000002,Regular
175,12564.0,260,1,456.9,Regular
176,12565.0,281,2,131.17,Regular
177,12566.0,72,2,346.7,Regular
178,12567.0,22,11,9114.94,VIP
179,12569.0,1,35,4064.9900000000002,Regular
180,12571.0,39,2,519.61,Regular
181,12572.0,8,3,1004.72,Regular
182,12573.0,226,1,160.54000000000002,Regular
183,12574.0,315,1,218.45,Regular
184,12576.0,35,6,1306.98,Regular
185,12577.0,34,4,595.4,Regular
186,12578.0,20,4,2753.36,Regular
187,12579.0,72,3,410.72,Regular
188,12580.0,246,1,415.7,Regular
189,12581.0,39,1,197.71,Regular
190,12582.0,238,2,511.36,Regular
191,12583.0,2,18,7187.34,VIP
192,12584.0,3,18,1893.95,Regular
193,12585.0,233,4,1982.81,Regular
194,12586.0,16,2,179.94000000000003,Regular
195,12587.0,7,1,144.0,Regular
196,12588.0,38,1,214.89999999999998,Regular
197,12589.0,28,2,646.68,Regular
198,12590.0,189,3,9861.38,VIP
199,12591.0,316,1,452.84999999999997,Regular
200,12592.0,91,2,437.6,Regular
201,12593.0,108,3,418.09999999999997,Regular
202,12594.0,37,11,3320.2200000000003,Regular
203,12596.0,50,2,618.27,Regular
204,12597.0,18,5,3683.13,Regular
205,12598.0,9,9,3002.68,Regular
206,12599.0,28,7,1032.58,Regular
207,12600.0,28,11,2581.04,Regular
208,12601.0,189,6,569.5600000000001,Regular
209,12602.0,58,1,153.12,Regular
210,12603.0,21,1,739.1999999999999,Regular
211,12604.0,78,2,254.18,Regular
212,12605.0,364,1,-7.5,Regular
213,12607.0,57,2,3.552713678800501e-15,Regular
214,12609.0,77,3,1126.85,Regular
215,12610.0,22,7,2057.99,Regular
216,12611.0,51,1,1193.32,Regular
217,12612.0,57,2,643.59,Regular
218,12613.0,30,6,3218.98,Regular
219,12614.0,277,1,315.6,Regular
220,12615.0,1,4,2291.19,Regular
221,12616.0,84,5,657.25,Regular
222,12617.0,28,1,355.53,Regular
223,12618.0,21,1,177.31,Regular
224,12619.0,15,13,3214.81,Regular
225,12620.0,14,3,1339.41,Regular
226,12621.0,1,23,13612.07,VIP
227,12622.0,231,1,180.1,Regular
228,12623.0,275,1,305.1,Regular
229,12624.0,105,2,641.13,Regular
230,12625.0,211,3,2614.32,Regular
231,12626.0,22,13,6388.35,VIP
232,12627.0,10,7,4478.53,Regular
233,12628.0,3,4,769.61,Regular
234,12630.0,9,2,1270.88,Regular
235,12631.0,56,1,640.5,Regular
236,12633.0,58,5,2140.63,Regular
237,12635.0,89,2,1689.18,Regular
238,12637.0,66,10,5953.25,VIP
239,12638.0,32,1,671.69,Regular
240,12639.0,238,1,486.1,Regular
241,12640.0,23,3,1174.58,Regular
242,12641.0,114,1,185.9,Regular
243,12642.0,24,3,1013.26,Regular
244,12643.0,127,6,3344.64,Regular
245,12644.0,129,1,477.91,Regular
246,12645.0,33,5,1755.38,Regular
247,12646.0,4,2,1346.97,Regular
248,12647.0,21,13,3669.92,Regular
249,12648.0,154,1,318.05,Regular
250,12649.0,106,4,603.71,Regular
251,12650.0,2,1,314.44,Regular
252,12651.0,334,1,114.0,Regular
253,12652.0,321,2,914.53,Regular
254,12653.0,148,2,2209.85,Regular
255,12654.0,10,5,601.98,Regular
256,12656.0,16,8,3982.72,Regular
257,12657.0,10,5,1152.06,Regular
258,12658.0,18,1,686.05,Regular
259,12659.0,29,1,91.68,Regular
260,12660.0,10,1,245.1,Regular
261,12662.0,0,12,3817.08,Regular
262,12664.0,7,10,4863.88,Regular
263,12665.0,324,2,61.75,Regular
264,12666.0,358,1,-227.44,Regular
265,12667.0,57,1,620.13,Regular
266,12668.0,6,6,3743.18,Regular
267,12669.0,150,4,1607.73,Regular
268,12670.0,9,6,2986.15,Regular
269,12672.0,329,1,225.89999999999998,Regular
270,12673.0,4,2,610.52,Regular
271,12674.0,11,7,1919.31,Regular
272,12676.0,24,6,1331.39,Regular
273,12678.0,41,13,17588.26,VIP
274,12679.0,51,9,1058.67,Regular
275,12680.0,0,4,862.81,Regular
276,12681.0,14,27,13677.59,VIP
277,12682.0,3,31,12288.22,VIP
278,12683.0,3,20,8221.09,VIP
279,12684.0,7,7,2283.63,Regular
280,12685.0,27,6,2863.08,Regular
281,12686.0,371,1,89.14,Regular
282,12688.0,113,1,4873.8099999999995,Regular
283,12689.0,25,2,1247.61,Regular
284,12690.0,205,1,389.01,Regular
285,12691.0,27,6,1035.8,Regular
286,12693.0,120,6,830.96,Regular
287,12694.0,69,2,869.67,Regular
288,12695.0,6,4,582.1,Regular
289,12697.0,20,5,939.02,Regular
290,12700.0,7,6,4867.99,Regular
291,12701.0,79,2,797.71,Regular
292,12702.0,19,1,219.0,Regular
293,12703.0,63,2,274.7,Regular
294,12704.0,6,10,2220.84,Regular
295,12705.0,14,14,6814.24,VIP
296,12707.0,291,1,603.42,Regular
297,12708.0,29,16,2616.32,Regular
298,12709.0,2,26,9294.1,VIP
299,12710.0,96,4,1130.57,Regular
300,12712.0,22,17,4241.63,Regular
301,12713.0,0,1,848.55,Regular
